Age,Grade,Gender,Race,SES_Quartile,ParentalEducation,SchoolType,Locale,TestScore_Math,TestScore_Reading,TestScore_Science,GPA,AttendanceRate,StudyHours,InternetAccess,Extracurricular,PartTimeJob,ParentSupport,Romantic,FreeTime,GoOut
15,10,Female,White,1,HS,Public,City,72.3460528447449,62.21713351639229,73.00807889463236,2.5217451524536125,0.8688360432403565,0.3101719917535119,0,1,1,1,0,3,3
16,11,Female,Hispanic,1,<HS,Private,City,77.88915720755975,72.7480296219012,76.30371730997359,3.275626380290499,0.9095952818526688,1.1755861596452644,1,1,0,0,1,3,1
17,12,Female,Black,2,HS,Public,Rural,72.9665874046004,65.58547210049495,68.0994108132026,2.9741374719165763,0.870951578475618,1.1125564579521758,1,1,0,0,0,3,3
16,11,Female,White,2,HS,Public,Town,96.67404896330876,88.03585249635026,100.0,3.676589575877245,1.0,1.0676785748713569,0,0,0,0,1,4,5
16,11,Male,Black,3,Bachelors+,Public,Rural,81.98927004235313,77.48537152781451,72.71506603466747,2.255013810453565,0.8979571774575529,0.8419359193908119,0,1,0,1,0,4,2
15,10,Male,White,3,HS,Public,City,62.37454761459523,68.3923900416834,53.79944052453263,2.834225505141167,0.8118978399847464,0.6056548517469021,1,1,0,0,0,2,1
14,9,Male,Hispanic,3,SomeCollege,Public,City,67.03536156230746,81.63423753043497,80.75189691767265,2.920479958857549,0.9217355550029046,0.8881492161530713,1,1,0,0,0,2,1
16,11,Female,Asian,3,SomeCollege,Public,City,78.75804015799407,64.55500467537752,83.23237704601155,3.4249401996319886,0.8924115241687726,0.8328188678023839,1,1,0,0,0,3,2
15,10,Male,White,2,<HS,Public,Suburban,73.51029610332174,66.74797030580248,69.29728407624931,2.5767490245611766,0.8615260573043039,0.5677029430675533,1,0,0,0,0,4,1
17,12,Female,Hispanic,3,Bachelors+,Private,Suburban,99.9282124957663,92.6741542291623,86.5953189632092,3.938166862256293,0.9816148239902796,1.652109655117736,1,0,1,1,1,3,2
14,9,Male,Black,4,SomeCollege,Public,Town,80.70080618749358,75.8194518849236,77.01283995856619,2.8322957722837145,0.9338331344954404,0.8736869146282934,1,0,0,1,0,1,1
17,12,Female,White,3,SomeCollege,Public,Suburban,74.1167916340184,62.17849717138117,60.198655740101984,2.791015439074168,0.8446623667398542,0.6869771338724552,0,0,0,1,0,2,2
17,12,Female,Hispanic,4,SomeCollege,Public,City,71.82917506275372,74.39941741753765,83.7392800339324,3.284344894101667,0.8781308564810746,0.3909434789394904,1,0,1,1,0,2,1
14,9,Male,Hispanic,4,Bachelors+,Public,Suburban,73.8222990605179,72.5913034243056,73.74586348960125,2.7176979811936404,0.9306783294789164,0.7836360275558235,1,1,1,0,0,2,1
17,12,Male,Asian,3,SomeCollege,Private,Town,83.04210492815959,80.85097759262166,76.04920033887949,2.9476436461731903,0.9123778093038036,0.6186223997816908,1,0,0,1,1,3,3
17,12,Female,White,4,SomeCollege,Public,Suburban,63.821098060350685,79.52436884030865,72.29406082897016,2.757123448742385,0.8958169184252539,0.9198912450716542,1,0,0,1,0,2,3
15,10,Female,Hispanic,3,HS,Public,Suburban,71.42489402365662,76.56981647610714,69.9602751263888,2.658400144610777,0.886246566870152,1.320225812996556,1,0,0,1,0,5,2
17,12,Female,White,4,Bachelors+,Public,City,59.47970111595159,61.06015924188051,69.79637513023356,2.8706575239160155,0.806625828402747,0.9666020621443542,1,0,0,0,0,3,1
17,12,Female,Asian,4,HS,Public,Rural,85.56811934465759,85.33215516955848,74.71002643316793,3.641497641468639,0.9733953518209282,1.0735343664489545,1,0,1,1,1,2,2
17,12,Male,White,4,<HS,Public,Suburban,78.93433464544034,78.79645474151708,72.78168253049746,2.944292375981882,0.9205703460582751,1.1718548875687065,1,1,0,0,0,3,1
18,12,Male,Black,3,<HS,Public,Rural,79.92427919049335,63.13681363179167,75.68574185351844,3.0956460532674765,0.8655951207733391,1.2358907305989826,0,1,0,0,0,5,3
17,12,Male,Hispanic,4,Bachelors+,Public,Suburban,83.47251271609643,77.47219936648607,81.96789015508526,3.268006925734748,0.956108887221438,1.1578377627741918,1,1,0,0,0,1,2
17,12,Male,White,4,Bachelors+,Public,City,59.65588299916752,67.98918559009171,69.54035128100965,2.519275030601861,0.8424313051437771,0.8115537309914672,1,0,0,1,1,3,2
